negative;Well, I told you once and I told you twice But you never listen to my advice You don't try very hard to please me With what you know it should be easy  Well, this could be the last time This could be the last time Maybe the last time I don't know, oh no, oh no  Well, I'm sorry girl but I can't stay Feelin' like I do today There's too much pain and too much sorrow I guess I'll feel the same tomorrow  Well, this could be the last time This could be the last time Maybe the last time I don't know, oh no, oh no  Well, this could be the last time This could be the last time Maybe the last time I don't know, oh no, oh no  Well I told you once and I told you twice That someone will have to pay the price But here's a chance to change your mind 'Cause I'll be gone a long, long time  Well, this could be the last time This could be the last time Maybe the last time I don't know, oh no, oh no Well, this could be the last time;The Rolling Stones;The Last Time
negative;There I was completely wasting Out of work and down All inside it's so frustrating As I drift from town to town  Feel as though nobody cares If I live or die So I might as well begin To put some action in my life  Breaking the law, breaking the law Breaking the law, breaking the law Breaking the law, breaking the law Breaking the law, breaking the law  So much for the golden future I can't even start I've had every promise broken There's anger in my heart  You don't know what it's like You don't have a clue If you did you'd find yourselves Doing the same thing too  Breaking the law, breaking the law Breaking the law, breaking the law Breaking the law, breaking the law Breaking the law, breaking the law  You don't know what it's like  Breaking the law, breaking the law Breaking the law, breaking the law Breaking the law, breaking the law Breaking the law, breaking the law  Breaking the law, breaking the law Breaking the law, breaking the law Breaking the law, breaking the law Breaking the law, breaking the law;Judas Priest;Breaking the Law
negative;(Yea I'm right here dog) Where my dogs at (We right here dog) Where my dogs at (I'm right here dog)  What must I go through to show you shit is real? And I ain't really never gave a fuck how niggaz feel Rob then I steal, not cause I want to, but 'cause I have to And don't make me show you with the Magnum If you don't know by now then you slippin I'm on some bullshit thats got me jackin, niggaz flippin I got my man and them stay pretty Like I'ma stay shitty Crimey it's all for the money; is you wit me? Get the bitches, and I'll commit the crime And when it's on we transform like Optimus Prime I'll form the head, roll out let's make it happen If we ain't gonna get it wit them we'll take the cap down Bust it off Gust it off On the softest niggaz Money with the biggest mouth: "Yo, let's rob this, nigga!" A novice nigga Never made a sound Breathe too fuckin' hard like you gettin' bust down  Yo, yo ya niggaz wanna be killers (get at me dog) Ya niggaz wanna feel us (get at me dog) Ya niggaz want the real (Get at me dog)  Rrrrrr arf arf what the deal  Yo, yo ya niggaz wanna be killers (get at me dog) Ya niggaz wanna feel us (get at me dog) Ya niggaz want the real (Get at me dog)  Rrrrrr arf arf what the deal Nowadays, Don't get to good for certain niggaz I'm hurtin' niggaz What you doin'? Robbin' niggaz, jerkin' niggaz Stickin' niggaz, 'cause they deserve it With money got murdered They know we died slow if they heard it The nigga there blew up the spot a while And the motherfucker ain't got shot in a while And the stacks will light up Will fuck the night up Blow everything in sight up Fuck around, and I'll have your ass right up What makes you think you wasn't able to stand? I got shit that'll disable a man With the wave of a hand The days are longer, and seems like I'm wastin' time I've got a lot of dreams, but I'm not really chasin' mine I suck it all up like a sicka fly 'Cause nowadays, gettin' by Is nothing more than an occasional meal and gettin' high I live to die --- That's where I'm headed Let your man hold somethin', now it's all about you can get it  Yo, yo ya niggaz wanna be killers (get at me dog) Ya niggaz wanna feel us (get at me dog) Ya niggaz want the real (Get at me dog)  Rrrrrr arf arf what the deal Well in the back wit ya faggot ass face down Lucky that you breathing, but you dead from the waist down The fuck is on your mind?  Talkin' that shit that you be talkin' And I bet you wish you never got hit, 'cause you be walkin' But shit happens and fuck it, you would have did ya dirt Niggaz is wonderin' how the fuck you hid your skirt Right under they eyes And it's a surprise To the guys That one of their mans was a bitch in disguise Fucking with cats and ordering more hits To slaughter more kids Let me holla at you all that wanna borrow the raw shit (ah-oh!) Knahmean?  I'm just robbing to eat And there's at least a thousand of us like me mobbing the street When we starve and we eat whatever's there Come on, you know the code in the street, whatever's fair Blood stains and chalk means yo man couldn't walk After the talk Heard him out at 1133 of New York Transformin'-ass niggaz will get it quick Aiyo, for real, that nigga K-solo can suck my dick And it's gon' take all these niggaz in the rap game to barely move me 'Cause when I blow shit up I have niggaz fallin' like white bitches in a scary movie Ah, you know I don't know how to act Get too close to niggaz, it's like: "Protected by viper, stand back" What's this? I thought y'all niggaz was killas, demented Fuck y'all what me with this coward? "Let's finish him! Just end it!";DMX;Get at Me Dog
negative;She said "I know what it's like to be dead I know what it is to be sad" And she's making me feel like I've never been born  I said "Who put all those things in your head? Things that make me feel that I'm mad And you're making me feel like I've never been born"  She said, "You don't understand what I said." I said, "No, no, no. You're wrong. When I was a boy, Everything was right. Everything was right."  I said "Even though you know what you know I know that I'm ready to leave 'Cos you're making me feel like I've never been born."  She said, "You don't understand what I said." I said, "No, no, no. You're wrong. When I was a boy, Everything was right. Everything was right."  I said "Even though you know what you know I know that I'm ready to leave 'Cos you're making me feel like I've never been born."  She said, she said "I know what it's like to be dead. I know what it's like to be dead. I know what it is to be sad. I know what it is to be sad. I know what it's like to be dead. I know what it's like to be dead.";The Beatles;She Said She Said
acerbic;You're gonna get it straight from the shoulder  Can't you see the party's over  Let me go   Can't you get it through your thick head  This affair is finished - dead  Hey, let me go   I tried giving you the velvet gloves  I tried giving you the knockout punch  Hey, let me go  Let me go  Let me go  Let me go  Let me go   I find it hard to be cruel  I find it hard to be cruel  With a smile, don't you?  You'll never find that perfect love  That you read about  That you dream about   Maybe I'll become a playboy  Hang around in gay bars  And move to the west side of town   You're gonna get it straight from the shoulder  Can't you see the party's over  Hey, let me go  Let me go   So you think I'm giving you the brush off  Well I'm just telling you to shove off  Hey, let me go   This ain't no time to waste my breath  We're going into sudden death  Hey, let me go   Can't you get it through your thick head  This affair is dead as a doornail  Hey, baby won't you let me go   The bell has rung, and I've called time  The chair is on the table, out the door baby   Baby won't you let me go  Let me go...;The Rolling Stones;Let Me Go
negative;I hear the train a comin' It's rolling round the bend And I ain't seen the sunshine since I don't know when, I'm stuck in Folsom prison, and time keeps draggin' on But that train keeps a rollin' on down to San Antone..  When I was just a baby my mama told me "Son, Always be a good boy, don't ever play with guns." But I shot a man in Reno just to watch him die When I hear that whistle blowin', I hang my head and cry..  I bet there's rich folks eating in a fancy dining car They're probably drinkin' coffee and smoking big cigars. Well I know I had it coming, I know I can't be free But those people keep a movin' And that's what tortures me...  Well if they freed me from this prison, If that railroad train was mine I bet I'd move it on a little farther down the line Far from Folsom prison, that's where I want to stay And I'd let that lonesome whistle blow my blues away...;Johnny Cash;Folsom Prison Blues
negative;Too many slaves in this world Die by torture and pain Too many people do not see They're killing themselves, going insane  Too many people do not know Bondage is over the human race They believe slaves always lose And this fear keeps them down  Watch the damned (God bless ya) They're gonna break their chains (hey) No, you can't stop them (God bless ya) They're coming to get you And then you'll get your  Balls to the wall, man Balls to the wall You'll get your balls to the wall, man Balls to the wall, balls to the wall  You may screw their brains You may sacrifice them, too You may mortify their flesh You may rape them all  One day the tortured stand up And revolt against the evil They make you drink your blood And tear yourself to pieces  You better watch the damned (God bless ya) They're gonna break their chains (hey) No, you can't stop them (God bless ya) They're coming to get you And then you'll get your  Balls to the wall, man Balls to the wall You'll get your balls to the wall, man Balls to the wall, balls to the wall  Come on man, let's stand up all over the world Let's plug a bomb in everyone's ass If they don't keep us alive, we're gonna fight for the rights  Build a wall with the bodies of the dead, and you're saved Make the world scared, come on, show me the sign of victory Sign of victory, sign of victory  You better watch the damned (God bless ya) They're gonna break their chains (hey) No, you can't stop them (God bless ya) They're coming to get you And then you'll get your  Balls to the wall, man Balls to the wall You'll get your balls to the wall, man Balls to the wall You'll get your balls to the wall, man Balls to the wall You'll get your balls to the wall, man Balls to the wall You'll get your balls to the wall, man;Accept;Balls to the Wall
negative;William Zanzinger killed poor Hattie Carroll With a cane that he twirled around his diamond ring finger At a Baltimore hotel society gatherin' And the cops were called in and his weapon took from him  As they rode him in custody down to the station And booked William Zanzinger for first-degree murder Oh, you who philosophize disgrace, and criticize all fears Take the rag away from your face, now ain't the time for your tears  William Zanzinger, who at twenty-four years owns a tobacco farm of six hundred acres With rich, wealthy parents who provide and protect him And high office relations in the politics of Maryland Reacted to his deed with a shrug of his shoulders  And swear words and sneering, and his tongue, it was a-snarling And in a manner of minutes, on bail was out walking But you who philosophize disgrace, and criticize all fears Take the rag away from your face, now ain't the time for your tears  Hattie Carroll was a maid in the kitchen She was fifty-one years old and gave birth to ten children Who carried the dishes and took out the garbage And never sat once at the head of the table  And didn't even talk to the people at the table Who just cleaned up all the food from the table And emptied the ashtrays on a whole other level Got killed by a blow, lay slain by a cane  Doomed and determined to destroy all the gentle And she never did nothing to William Zanzinger And you who philosophize disgrace, and criticize all fears Take the rag away from your face, now ain't the time for your tears  In the courtroom of honor, the judge pounded his gavel To show that all's equal and that the courts are on the level And that the strings in the books ain't pulled and persuaded And that even the nobles get properly handled  Once that the cops have chased after and caught 'em And that the ladder of law has no top and no bottom Stared at the person who killed for no reason Who just happened to be feelin' that way without warnin'  And he spoke through his cloak, most deep and distinguished And handed out strongly, for penalty and repentance, William Zanzinger with a six-months entence Oh, you who philosophize disgrace, and criticize all fears Bury the rag deep in your face, now's the time for your tears;Bob Dylan;The Lonesome Death of Hattie Carroll
negative;Well, we can't take it this week And her friends don't want another speech Hoping for a better day  To hear what she's got to say  All about that personality crisis, you got it while it was hot But now, frustration and heartache is what you got (That's why they talk about personality)  But now, your tryin' to be some, no, you got to do some Wanna be someone who cow wow wows But you think about the times you did, they took every ounce When it sure got to be a shame when you start to scream and shout You got to contradict all those times you were butterflyin' about (You were butterflyin')  All about that personality crisis you got it while it was hot But now frustration and heartache is what you got  And you're a prima ballerina on a spring afternoon Change on into the wolfman howlin', at the moon, hooowww  All about that personality crisis, you got it while it was hot But now, frustration and heartache is what you got  Now, with all the crossin' fingers that mother nature says Your mirrors get jammed up with all your friends That personality, everything starts to bend Personality, when your mind starts to bend Personality, impression of a friend of a friend of a friend of a friend of a friend Personality, wonderin' how celebrities ever mend (Look and find out on television)  Personality crisis, you got it while it was hot Frustration and heartache is all you got Don't you worry  Personality crisis, please don't cry It's just a personality crisis, please, don't stop  Because you walk a personality Talk a personality;New York Dolls;Personality Crisis
negative;I am the entertainer and I know just where I stand Another serenader and another long-haired band Today I am your champion, I may have won your hearts But I know the game, you'll forget my name And I won't be here in another year If I don't stay on the charts, oh  I am the entertainer and I've had to pay my price The things I did not know at first, I learned by doing twice But still they come to haunt me, still they want their say So I've learned to dance with a hand in my pants I let 'em rub my neck and I write 'em a check And they go their merry way  I am the entertainer, been all around the world I've played all kinds of palaces and laid all kinds of girls I can't remember faces, I don't remember names Oh, but what the hell, you know it's just as well 'Cause after a while and a thousand miles It all becomes the same  I am the entertainer, I bring to you my songs I'd like to spend a day or two, but I can't stay that long I got to meet expenses, I got to stay in line Got to get those fees to the agencies And I'd love to stay but there's bills to pay So I just don't have the time  I am the entertainer, I've come to do my show You've heard my latest record spin on the radio Oh, it took me years to write it, they were the best years of my life It was a beautiful song, but it ran too long If you're gonna have a hit you gotta make it fit So they cut it down to 3:05  I am the entertainer, the idol of my age I make all kinds of money when I go on the stage Ah, you see me in the papers, I've been in the magazines But if I go cold, I won't get sold I get put in the back in a discount rack Like another can of beans  I am the entertainer and I know just where I stand Another serenader and another long-haired band Today I am your champion, I may have won your hearts But I know the game, you'll forget my name I won't be here in another year  If I don't stay on the charts;Billy Joel;The Entertainer
aggressive;C'mon man  And with the local DDC news, LL Cool J with a triumphant comeback But tonight  Don't call it a comeback I been here for years I'm Rockin' my peers Puttin' suckers in fear Makin' the tears rain down like a monsoon Listen to the bass go boom Explosions, overpowerin' Over the competition, I'm towerin' Records shock When I drop  These lyrics That'll make you call the cops Don't you dare stare  You betta move Don't ever compare  Me to the rest They'll all get sliced and diced Competition's payin' the price  I'm gonna knock you out Mama said knock you out I'm gonna knock you out Mama said knock you out I'm gonna knock you out Mama said knock you out I'm gonna knock you out Mama said knock you out  Don't you call this no regular jam I'm gonna rock this land I'm gonna take this itty-bitty world by storm And I'm just getting warm Just like Mohammad Ali, they called him Cassius Watch me bash this  Beat like a skull Dontcha know I gotta beef wit' Why don't you rip with  Me, the maniac psycho Cuz when I pull out my jammy, get ready cuz it might go Blauh! How do you like me now? The ripper will not allow You to get wit' Mr. Smith don't risk Listen to my gear shift. I'm blastin', outlastin' Colors like shaft, so you could say I'm shaftin' Old English filled my mind  And I came up with the funky rhyme  I'm gonna knock you out Mama said knock you out I'm gonna knock you out Mama said knock you out I'm gonna knock you out Mama said knock you out I'm gonna knock you out Mama said knock you out  Breakdown!  Gangsta Boogie Gangsta Boogie Gangsta Boogie Gangsta Boogie Gangsta Boogie Gangsta Boogie Gangsta Boogie Gangsta Boogie Gangsta Boogie Gangsta Boogie Gangsta Boogie Gangsta Boogie Gangsta Boogie Gangsta Boogie Gangsta Boogie Gangsta Boogie  Shadow boxin' when I heard you on the radio Uh - I just don't know What made You forget that I was raw But now I gotta new toy I'm going insane Frontin' the hurricane Releasin' pain  Lettin' you know You can't gain or maintain Unless you say my name Rippin' Killin' Diggin' and drillin' a hole Pass the ol' goal  I'm gonna knock you out Mama said knock you out I'm gonna knock you out Mama said knock you out I'm gonna knock you out Mama said knock you out I'm gonna knock you out Mama said knock you out  Shotgun blasts are heard When I rip and kill at will The man of the hour, tower of power I will devour I'm gonna tie you up and let you understand That I'm not your average man When I gotta jammy in my hand Damn Ooh Listen to the way I slay your crew Damage Damage Damage Damage Destruction, terror and mayhem Pass me a sissy, and suckas I'll slay him Farmers (WHAT) Farmers (WHAT) I'm ready! (WE'RE READY) I think I'm gonna bomb a  Town (GET DOWN) Don't you never, ever Pull my lever 'Cause I explode And my nine is easy to load I gotta thank God 'Cause he gave me the strength to rock Hard... knock you out  Mama said knock you out I'm gonna knock you out Mama said knock you out I'm gonna knock you out Mama said knock you out I'm gonna knock you out Mama said knock you out  Damn;LL Cool J;Mama Said Knock You Out
aggressive;Jesus (Jesus)  Pick me, pick me yeah Let a lone, long signal At least, at least, yeah Everyone is hollow  Pick me, pick me yeah Everyone is waiting Pick me, pick me yeah You can even pay them  Hey  Dive Dive Dive Dive in me Dive Dive Dive Dive in me  Dive in me Dive in me Dive in me  Kiss this, kiss that yeah Let a lone, long signal At least, at least, yeah You could be my hero  Pick me, pick me yeah Everyone is waiting Hit me, hit me yeah I'm real good at hating  Hey  Dive Dive Dive Dive in me Dive Dive Dive Dive in me  Dive in me Dive in me Dive in me  Dive Dive Dive Dive in me Dive Dive Dive Dive in me Dive Dive Dive Dive in me  Dive in me Dive in me Dive in me Dive in me Dive in me Dive in me;Nirvana;Dive
